Il me ſemble même que Scipion auroit bien douté de ſa vertu, & du pouvoir qu’il avoit ſur luy de n’oſer voir une tres-belle perſonne, depeur d’en être tenté.	Il me semble même que Scipion aurait bien douté de sa vertu, et du pouvoir qu'il avait sur deux de n'oser voir une très-belle personne, dépeur d'en être tenté.
Comme l’Hiſtoire ne nomme point cette belle captive, je la fais Niéce d’Annibal, pour donner un plus grand contraſte d l’amour de Scipion qu’il combat, & dont enfin il triomphe, et je puis dire que cette action a plû trop generalement dans le cinquiéme Acte pour me repentir de l’avoir fait.	Comme l'Histoire ne nomme point cette belle captive, je la fais Nièce d'Hannibal, pour donner un plus grand contraste d 'amour de Scipion qu'il combat, et dont enfin il triomphe, et je puis dire que cette action a plu trop généralement dans le cinquième Acte pour me repentir de l'avoir fait.
Il y a des gens qui s’étonnent qu'Annibal vienne demander la Paix avecque une aſſez greſſe Armée;	Il y a des gens qui s'étonnent qu'Hannibal vienne demander la Paix avec une assez gresse Armée;
mais il n’eſt pas permis d’ignorer un fait hiſtorique auſſi connu que celuylà.	mais il n'est pas permis d'ignorer un fait historique aussi connu que celuilà.
Il eſt conſtant qu'Annibal fut rapellé par le Senat de Cartage pour défendre ſa patrie, qu’il quitta l’Italie, qu’il revint en Afrique, & qu’il y trouva les affaires en un ſi mauvais état, qu’il n’eût point d’autre party à prendre pour ſauver Cartage, que celuy de demander la Paix;	Il est constant qu'Hannibal fut rappelé par le Sénat de Carthage pour défendre sa patrie, qu'il quitta l'Italie, qu'il revint en Afrique, et qu'il y trouva les affaires en un si mauvais état, qu'il n'eût point d'autre parti à prendre pour sauver Carthage, que celui de demander la Paix;
mais il la demande d’une maniere aſſez noble, & cette Scene a toujours paru tres-belle, & tres- bien conduite;	mais il la demande d'une manière assez noble, et cette Scène a toujours paru très-belle, et très- bien conduite;
Je ne doute point qu’il n’y ait bien des choſes qui auroient pû être mieux dans cette Piece, mais je ne ſuis pas infaillible, & je ne donne point cecy pour un ouvrage achevé.	Je ne doute point qu'il n'y ait bien des choses qui auraient pu être mieux dans cette Pièce, mais je ne suis pas infaillible, et je ne donne point ceci pour un ouvrage achevé.
Il ſuffit qu’il ait réuſſi, pour en devoir être content, & pour m'encourager à travailler à l’avenir avec encor plus de ſoin & plus d’exactitude.	Il suffit qu'il ait réussi, pour en devoir être content, et pour m'encourager à travailler à l'avenir avec encor plus de soin et plus d'exactitude.
ENTRAIT DV PRIVILEGE du Roy.	ENTRAIT DU PRIVILÈGE du Roi.
AR Grace & Privilege du Roy, donné à Paris I le vingt-uniéme Mars 1697.	AR Grâce et Privilège du Roi, donné à Paris I le vingt-unième Mars 1697.
Signé, Par de Roy en ſon Conſeil, LE FEVRE.	Signé, Par de Roi en son Conseil, LE SEVRÉ.
Il eſt permis à THOMAS GUILLAIN, Marchand Libraire à Paris, de faire imprimer, vendre & debiter le Recueil des Tragedies du Sieur PRADON, pendant le temps de ſix années, à compter du jour qu’elles ſeront achevées d’imprimer pour la premiere fois, en vertu des preſentes, pendant lequel temps tresexpreſſes inhibitions & défenſes ſont faites à toutes perſonnes de quelque qualité & condition qu’elles ſoient, de faire imprimer, vendre ny debiter deſdites Tragedies conjointement, nou ſeparément, d’autre Edition que celles de l’Expoſant, ou de ceux qui auront droit de luy, à peine de quinze cens livres d’amende, payable ſans déport par chacun des Contrevenans, de confiſcation des Exemplaires contrefaits, & de tous dépens, dommages & intereſts, & autres peines portées plus au long par leſdites Lettres de Privilege.	Il est permis à THOMAS GUILLAIN, Marchand Libraire à Paris, de faire imprimer, vendre et débiter le Recueil des Tragédies du Sieur PRADON, pendant le temps de six années, à compter du jour qu'elles seront achevées d'imprimer pour la première fois, en vertu des présentes, pendant lequel temps tresexpresses inhibitions et défenses sont faites à toutes personnes de quelque qualité et condition qu'elles soient, de faire imprimer, vendre ni mieux de Faire conjointement, primer, sa Edition que celles de Exposant, ou de ceux qui on joint de lui, peine de quinze cens livres ment, né sans dit ion chacun des Ce, de lui des Exemplaires contrefaits, et de tous dépens, me et intérêts, et ou de ce plus au long par cent Lettres de Privilege.
Regiſtré ſur le Livre de la Communauté des Imprimems & hiomnires de la Ville de Paris, le 26.	Registré sur le Livre de la Communauté des Imprims et hiomnires de la Ville de Paris, le 26.
Mars 1695.	Mars 1695.
Signé P.	Signé P.
AUBOUYN, Syndic.	AUBOUYN, Syndic.
Achevé d’imprimer pour la premiere fois le premier Avril 1697.	Achevé d'imprimer pour la première fois le premier Avril 1697.
Le prix eſt vingt ſols.	Le prix est vingt sols.
MCTEONS.	MCTENS.
DOEDIOrs, furfoiie l'ATRICAIN, Conſul & General de l’Armée des Romains.	DODIOrs, furfoiie l'ATRICAIN, Consul et Général de l'Armée des Romains.
ANNIBAL, General de l’Armée des Cartaginois.	ANNIBAL, Général de l'Armée des Carthaginois.
LUCEJUS, Prince des Celtiberiens, Amant d’Iſperie Niéce d’Annibal.	LUCEJUS, Prince des Celtibériens, Amant d'Ispérie Nièce d'Hannibal.
ISPERIE, Niéce d’Annibal, promiſe à Lucejus, priſonniere dans le Camp de Scipion.	ISPERIE, Nièce d'Hannibal, promise à Lucejus, prisonnière dans le Camp de Scipion.
Eieriturtu, midu Hamon, ennemy d’Annibal, priſonniere dans le Camp de Scipion.	Eieriturtu, midu Hamon, ennemi d'Hannibal, prisonnière dans le Camp de Scipion.
AURILCAR, Envoyé d’Annibal vers Scipion.	AURILCAR, Envoyé d'Hannibal vers Scipion.
mimnon, Conndene de ocipion.	mimnon, Conndène de ocipion.
SEATOS, Capitame de l’Armée de Scipion:	SEATOS, Capitame de l'Armée de Scipion:
CELSUS Romain, amy de Lucejus.	CELSUS Romain, ami de Lucejus.
ERMILIE, Confidente d’Iſperie.	ERMILIE, Confidente d'Ispérie.
BARCE’, Confidente d’Erixene.	BARCE', Confidente d'Erixène.
GARDES.	GARDES.
La Scene eſt dans le Camp de Scipion, prés de Zama.	La Scène est dans le Camp de Scipion, près de Zama.
SCITION L'AFRICAIN INOEDIL.	SCITION L'AFRICAIN INODIL.
ACTE I.	ACTE I.
DCENE IREMIERE.	DCENE IREMIÈRE.
LEPIDE, AURILCAR.	LÉPIDE, AURILCAR.
LEPIDE.	LÉPIDE.
EIGneur, en attendant que Scipion vous voye, Je me tiens honoré de l’ordre qu’il m’envoye, De vous entretenir pendant quelques momens, Nous ſçaurons d’Annibal les ſecrets ſentimens, C’eſt vous qui dans ce Camp annoncez ſa venuë.	EIGneur, en attendant que Scipion vous voit, Je me tiens honoré de l'ordre qu'il m'envoie, De vous entretenir pendant quelques moments, Nous saurons d'Hannibal les secrets sentiments, C'est vous qui dans ce Camp annoncez sa venue.
AURILCAR.	AURICAR.
Oüy, Seigneur, Annibal ſouhaite une entreveuë, Je viens la demander, c’eſt ſon intention Que de voir aujourd’huy le fameux Scipion;	Oui, Seigneur, Hannibal souhaite une entrevue, Je viens la demander, c'est son intention Que de voir aujourd'hui le fameux Scipion;
Aux plaines de Zama nous ſommes l’un & l’autre, Nôtre Armée eſt campée aſſez prés de la vôtre;	Aux plaines de Zama nous sommes l'un et l'autre, Notre Armée est campée assez près de la vôtre;
Mais Annibal prétend avec luy conferer, Et je viens en ce Camp pour en déliberer, Avant que de rien faire & de rien entreprendre.	Mais Hannibal prétend avec lui conférer, Et je viens en ce Camp pour en délibérer, Avant que de rien faire et de rien entreprendre.
LEPIDE.	LÉPIDE.
Sans doute qu’on ne peut refuſer de l’entendre;	Sans doute qu'on ne peut refuser de l'entendre;
Nous verrons aujourd’huy ces deux grands Citoyens, Tous deux de leur païs la gloire & les ſoûtiens, Donner ce peu de tréve à cette longue guerre, Pour décider entre-eux du deſtin de la terre, Et de leur conference on attend deſormais Le jour de la bataille, ou celuy de la paix.	Nous verrons aujourd'hui ces deux grands Citoyens, Tous deux de leur pays la gloire et les soutiens, Donner ce peu de trêve à cette longue guerre, Pour décider entre-eux du destin de la terre, Et de leur conférence on attend désormais Le jour de la bataille, ou celui de la paix.
AURILCAR.	AURICAR.
Je ne m’explique point des deſſeins de mon Maître, Il paroîtra luy-même, & les fera connoître, Il marche ſur mes pas:	Je ne m'explique point des desseins de mon Maître, Il paraîtra fait-même, et les fera connaître, Il marche sur mes pas:
mais que d’heureux ſuccés, Seigneur, de Scipion ont remply les projets?	mais que d'heureux succès, Seigneur, de Scipion ont rempli les projets?
La victoire en tous lieux à ſon bras enchaînée Semble de l’Univers faire la deſtinée;	La victoire en tous lieux à son bras enchaînée Semble de l'Univers faire la destinée;
Jeune encor, on a vû ſes grandes actions Suivre, & même paſſer celles des Scipions, Et digne rejeton de cette illuſtre race, A vingt ans on l’a vû commander en leur place;	Jeune encore, on a vu ses grandes actions Suivre, et même passer celles des Scipions, Et digne rejeton de cette illustre race, A vingt ans on l'a vu commander en leur place;
Il nous chaſſa d’Eſpagne aprés quatre combats, Où Rome triompha par l’effort de ſon bras, Le voicy dans l’Affrique étonnée, affoiblie, Il arrache Annibal du ſein de l’Italie.	Il nous chassa d'Espagne après quatre combats, Où Rome triompha par l'effort de son bras, Le voici dans l'Afrique étonnée, affaiblie, Il arrache Hannibal du sein de l'Italie.
Et contraint ce Heros de voler en ces lieux, Pour défendre à ſon tour la patrie & les Dieux.	Et contraint ce Héros de voler en ces lieux, Pour défendre à son tour la patrie et les Dieux.
LEPIDE.	LÉPIDE.
S’il acheve, Seigneur, cette heureuſe campagne, Dans l’Affrique il fera ce qu’il fit en Eſpagne:	S'il achève, Seigneur, cette heureuse campagne, Dans l'Afrique il fera ce qu'il fit en Espagne:
Un des plus puiſſans Rois qui fut dans l’Univers, L’infidelle Syphax a pery dans ſes fers, Aſdrubal & Xantus ont perdu trois batailles, Cartage va nous voir au pied de ſes murailles, Cette ſuperbe ville eſt contrainte aujourd’huy D'appener Amibal pour luy ſervn d’appuy , Scipion la menace, & l’on voit ce grand homme Luy rendre rout l’effroy qu’Annibal fit à Rome.	Un des plus puissants Rois qui fût dans l'Univers, L'infidèle Syphax a péri dans ses fers, Asdrubal et XXantus ont perdu trois batailles, Carthage va nous voir au pied de ses murailles, Cette superbe ville est contrainte aujourd'hui D'appener Amibal pour lui servn appui , Scipion la menace, et l'on voit ce grand homme Lui rendre rout l'effroi qu'Hannibal fit à Rome.
AURILCAR.	AURICAR.
Il vient de ſes ſuccés interrompre le cours, Et promet à l’Affrique un fidele ſecours.	Il vient de ses succès interrompre le cours, Et promet à l'Afrique un fidèle secours.
Son nom ſeul raffermit nos Provinces craintives;	Son nom seul raffermit nos Provinces craintives;
Mais puis-je m’informer des illuſtres captives Que Zama pris d’aſſaut vit tomber dans vos fers;	Mais puis-je m'informer des illustres captives Que Zama pris d'assaut vit tomber dans vos fers;
La Niéce d’Annibal les a-t-elle ſouffers?	La Nièce d'Hannibal les a-t-elle soufferts?
Et la Fille d’Hannon, la ſuperbe Erixene, S’eſt-elle accoûtumée à porter une chaîne?	Et la Fille d'Hannon, la superbe Erixène, S'est-elle accoutumée à porter une chaîne?
LEPIDE.	LÉPIDE.
Que leur chaîne, Seigneur, eſt facile à porter?	Que leur chaîne, Seigneur, est facile à porter?
Elles ont des vertus qui les font reſpecter, Au Camp de Scipion elles ſont ſouveraines, Il les traite bien moins en eſclaves qu’en Reines, Il n’a plus de fierté ſi-tôt qu’il eſt vainqueur, Sa bonté, ſa clemence égalent ſa valeur;	Elles ont des vertus qui les font respecter, Au Camp de Scipion elles sont souveraines, Il les traite bien moins en esclaves qu'en Reines, Il n'a plus de fierté sitôt qu'il est vainqueur, Sa bonté, sa clémence égalent sa valeur;
Oüy, ſon bras aux vaincus ne fut jamais funeſte, La victoire ne ſert qu’à le rendre modeſte, Egal dans la fortune & dans l’adverſité, Il n’eſt jamais ſuperbe en la proſperité.	Oui, son bras aux vaincus ne fut jamais funeste, La victoire ne sert qu'à le rendre modeste, Égal dans la fortune et dans l'aversité, Il n'est jamais superbe en la prospérité.
A ij La Niéce d’Annibal, l’adorable Iſperie, Fit briller tant d’éclat & tant de modeſtie Qu’il en fut ébloüy:	A Ajà La Nièce d'Hannibal, l'adorable Ispérie, Fit briller tant d'éclat et tant de modestie Qu'il en fut ébloui:
mais enfin ſa beauté Porte un charme ſecret dont on eſt enchanté.	mais enfin sa beauté Porte un charme secret dont on est enchanté.
Au Prince Lucejus elle ſe vit promiſe, Il devoit l’épouſer-quand Zama fut ſurpriſe;	Au Prince Lucejus elle se vit promise, Il devait l'épouser-quand Zama fut surprise;
Ce jour infortuné ſi funeſte pour eux Sépara ces Amans ſur le point d’eſtre heureux:	Ce jour infortuné si funeste pour eux Sépara ces Amants sur le point d'être heureux:
Elle ignore où ce Prince a ſçû porter ſes armes, Et ſouvent ſes beaux yeux pour luy verſent des larmes:	Elle ignore où ce Prince a su porter ses armes, Et souvent ses beaux yeux pour lui versent des larmes:
Mais, Seigneur, Erixene en ce lieu doit venir, Scipion luy permet de vous entretenir, Je vois qu’elle s’avance, & vous laiſſe avecque elle.	Mais, Seigneur, Erixène en ce lieu doit venir, Scipion Seigneur permet de vous entretenir, Je vois qu'elle s'avance, et vous laisse avec elle.
LGERODIT.	LGERODIT.
ERIXENE, BARSE’, AURILCAR.	ERIXENE, BARSE', AURILCAR.
ERIXENE.	ERIXENE.
N nous vient d’annoncer une grande nouvelle, OAnnibal en Affrique eſt enfin de retour.	N nous vient d'annoncer une grande nouvelle, ONibal en Afrique est enfin de retour.
AURILCAR.	AURICAR.
Vous le verrez, Madame, avant la fin du jour.	Vous le verrez, Madame, avant la fin du jour.
ERIXENE.	ERIXENE.
Je ſçay que dans l’état où l’Affrique eſt reduite, Elle n’eſpere plus qu’en ſa ſeule conduite;	Je sais que dans l'état où l'Afrique est réduite, Elle n'espère plus qu'en sa seule conduite;
Ne me déguiſez rien ſur ſes nouveaux projets, Je prévois, Aurilcar, qu’ils tendent à la paix.	Ne me déguisez rien sur ses nouveaux projets, Je prévois, Aurilcar, qu'ils tendent à la paix.
AURILCAR.	AURICAR.
Vous avez penetré ce que veut ſa prudence, Une paix de Cartage eſt l’unique eſperance;	Vous avez pénétré ce que veut sa prudence, Une paix de Carthage est l'unique espérance;
Mais, Madame, que dit, & que fait Scipion?	Mais, Madame, que dit, et que fait Scipion?
Son jeune cœur n’a-t-il que de l’ambition ?	Son jeune cœur n'a-t-il que de l'ambition ?
Les charmes d’Erixene, ou les yeux d’Iſperie N’ont-ils pû rendre encor ſa grande ame attendrie?	Les charmes d'Erixène, ou les yeux d'Ispérie N'ont-ils pu rendre encor sa grande âme attendrie?
Pardonnez.	Pardonnez.
ERIXENE.	ERIXENE.
Apprenez un ſecret important, Sans doute Scipion n’eſt plus indifferent.	Apprenez un secret important, Sans doute Scipion n'est plus indifférent.
Depuis peu dans ſon Camp ſa flâme eſt allumée, Bien que ſa paſſion dans ſon cœur renfermée Prenne ſoin à nos yeux toujours de ſe cacher, Qu’il faſſe des efforts en vain pour l’arracher, J’ay connu cependant, même par ſa contrainte, Que d’un feu violent ſon ame étoit atteinte.	Depuis peu dans son Camp sa flamme est allumée, Bien que sa passion dans son cœur renfermée Prenne soin à nos yeux toujours de se cacher, Qu'il fasse des efforts en vain pour l'arracher, J'ai connu cependant, même par sa contrainte, Que d'un feu violent son âme était atteinte.
AURILCAR.	AURICAR.
Il faut d’un tel ſecret qu’Annibal ſoit inſtruit, Sa prudence pouroit en tirer quelque fruit;	Il faut d'un tel secret qu'Hannibal soit instruit, Sa prudence pourrait en tirer quelque fruit;
Car ſi de Scipion on fléchit le courage, Il pouroit s’adoucir en faveur de Cartage.	Car si de Scipion on fléchit le courage, Il pourrait s'adoucir en faveur de Carthage.
Hé quoy?	Hé quoi?
ſi de l’amour il reſſentoit les coups?	si de l'amour il ressentait les coups?
Et s’il étoit charmé d’Iſperie, ou de vous, Sans doute que la paix en ſeroit plus facile.	Et s'il était charmé d'Ispérie, ou de vous, Sans doute que la paix en serait plus facile.
ERIXENE.	ERIXENE.
A connoître les cœurs je ne ſuis pas habile;	À connaître les cœurs je ne suis pas habile;
Mais j’ay crû démeſler dans ſon trouble ſecret, Qu’il aime une des deux, & qu’il l’aime à regret;	Mais j'ai crû démêler dans son trouble secret, Qu'il aime une des deux, et qu'il l'aime à regret;
Plus j’obſerve pour nous ſes yeux & ſa conduite, Plus je vois qu’il nous cherche alors qu’il nous évite;	Plus j'observe pour nous ses yeux et sa conduite, Plus je vois qu'il nous cherche alors qu'il nous évite;
Quand il nous voit enſemble il demeure interdis, Il rougit quelquefois de honte & de dépit Et quand il s’aperçoit du trouble de ſon ame, Il ſemble s’indigner de ſa naiſſante flâme, Il fremit de ſentir l’amour qu’il veut dompter, Et que tout ſon courage a peine à ſurmonter.	Quand il nous voit ensemble il demeure interdis, Il rougit quelquefois de honte et de dépit Et quand il s'aperçoit du trouble de son âme, Il semble s'indigner de sa naissante flamme, Il frémit de sentir l'amour qu'il veut dompter, Et que tout son courage a peine à surmonter.
Voila le plan d’un cœur difficile à connoître;	Voila le plan d'un cœur difficile à connaître;
Mais pour aprofondir qui peut en eſtre maître, Je ſçay trop qu’Iſperie a des charmes puiſſans, Que ſa beauté d’abord peut enchanter les ſens, Mais à ſon cher Amant elle eſt trop attachée, Et par nul autre objet n’en peut eſtre arrachée, Scipion le connoît.	Mais pour approfondir qui peut en être maître, Je sais trop qu'Ispérie a des charmes puissants, Que sa beauté d'abord peut enchanter les sens, Mais à son cher Amant elle est trop attachée, Et par nul autre objet n'en peut être arrachée, Scipion le connaît.
MORIEOAE Madame, & plût aux Dieux!	MORIEOAE Madame, et plût aux Dieux!
Que ce Vainqueur ſentit le pouvoir de vos yeux?	Que ce Vainqueur sentit le pouvoir de vos yeux?
ERIXENE.	ERIXENE.
Je ne m’en flatte point, mais ſans eſtre trop vaine, Scipion ſans rougir pouroit porter ma chaîne, Que dis-je?	Je ne m'en flatte point, mais sans être trop vaine, Scipion sans rougir pourrait porter ma chaîne, Que dis-je?
ce Heros, le plus grand des mortels, A qui Rome déja conſacre des Autels, D’un cœur tel que le mien peut devenir le maître, Et s’il n’eſt mon Amant il eſt digne de l’eſtre.	ce Héros, le plus grand des mortels, À qui Rome déjà consacre des Autels, D'un cœur tel que le mien peut devenir le maître, Et s'il n'est mon Amant il est digne de l'être.
Peut-eſtre j’en dis trop, & j’avouë à regret Un foible, dont mon cœur me faiſoit un ſecret;	Peut-être j'en dis trop, et j'avoue à regret Un faible, dont mon cœur me faisait un secret;
Mais quoy?	Mais quoi?
Si l’on faiſoit lupuiu uree Cartage, Plût au Ciel!	Si l'on faisait lupui vie Carthage, Plût au Ciel!
que l’amour en ébauchât l’ouvrage, Et du moins je voudrois pour flater ma fierté, Que l’heureuſe Erixene eût part à ce traité.	que l'amour en ébauchât l'ouvrage, Et du moins je voudrais pour flatter ma fierté, Que l'heureuse Erixène eût part à ce traité.
Adieu, Scipion vient, & vous allez l’entendre.	Adieu, Scipion vient, et vous allez l'entendre.
SCENEIII.	SCENEII.
SCIPION, LEPIDE, AURILCAR.	SCIPION, LEPIDE, AURILCAR.
SCIPION.	SCIPION.
St-il donc vray, Seigneur, ce qu'on vient de E m’apprendre, Que le grand Annibal cherche à m’entretenir?	St-il donc vrai, Seigneur, ce qu'on vient de E m'apprendre, Que le grand Hannibal cherche à m'entretenir?
AURILCAR.	AURICAR.
Seigneur, ſur ce ſujet je viens vous prévenir, Occupé tout entier du ſoin de ſa patrie, Annibal, par ma bouche aujourd’huy vous en prie;	Seigneur, sur ce sujet je viens vous prévenir, Occupé tout entier du soin de sa patrie, Hannibal, par ma bouche aujourd'hui vous en prie;
One telle entreveue ueile à lon pais, Et même neceſſaire à tous les deux partis, Pouroit en ce grand jour décidant de la guerre, Donner un plein repos au reſte de la terre.	Ône telle entrevue ueile à lon pais, Et même nécessaire à tous les deux partis, Pourait en ce grand jour décidant de la guerre, Donner un plein repos au reste de la terre.
SCIPION.	SCIPION.
Annibal me ſurprend par ce nouveau deſſein, Je ne le croyois voir que le fer à la main, Et ſeur de ſa valeur & de ſa renommée, Je l’attendois toujours en tête d’une Armée.	Hannibal me surprend par ce nouveau dessein, Je ne le croyais voir que le fer à la main, Et sûr de sa valeur et de sa renommée, Je l'attendais toujours en tête d'une Armée.
AURILCAR Elle approche de vous, & marche ſur ſes pas;	AURILCAR Elle approche de vous, et marche sur ses pas;
Avant que de tenter le deſtin des combats, Il a cru pour le bien de chaque Republique, Qu’il devoit avec vous en ſage politique, Examiner à fonds les divers intereſts Qui troublent nos Etats par des reſſors ſecrets, Et les ayant tous mis dans la juſte balance, En peſer à loiſir les raiſons, l’importânce, Pour garder à chacun & ſa gloire & ſon rang;	Avant que de tenter le destin des combats, Il a cru pour le bien de chaque République, Qu'il devait avec vous en sage politique, Examiner à fond les divers intérêts Qui troublent nos États par des ressors secrets, Et les ayant tous mis dans la juste balance, En peser à loisir les raisons, l'importânce, Pour garder à chacun et sa gloire et son rang;
oou vene dne entreveue epargne bien du ſang, Ainſi pour Annibal je la demande encore.	oou vene dne entrevue épargne bien du sang, Ainsi pour Hannibal je la demande encore.
SCIPION.	SCIPION.
Hé bien?	Hé bien?
pour luy marquet à quel point je l’honore J’accepte l’entreveuë, & veux bien differer La bataille où j’ay cru devoir me préparer;	pour Elle marquet à quel point je l'honore J'accepte l'entrevue, et veux bien différer La bataille où j'ai cru devoir me préparer;
Pour lever tout ombrage & toute défiance, Qu'in enomile un neu prople a cette conference, Je m’y rendray, Seigneur, au jour qu’il nommera, Et ne Ieray ſuivy qu’autant qu’il le ſera.	Pour lever tout ombrage et toute défiance, Qu'in enomile un neu prople à cette conférence, Je m'y rendrai, Seigneur, au jour qu'il nommera, Et ne Jerai suivi qu'autant qu'il le sera.
A'URILCAR.	AURILCAR.
Il prétend dans ce Camp venir bien-tôt luy-même.	Il prétend dans ce Camp venir bientôt lui-même.
SCIPION.	SCIPION.
Quoy!	Quoi!
luy meme en mon camp;	Elle -même en mon camp;
ma ſurpriſe eſt extrême ?	ma surprise est extrême ?
ſrais quel otage encor exige-t-il de moy?	srais quel otage encor exige-t-il de moi?
Que demande-t-il qui puiſſe.	Que demande-t-il qui puisse.
AURILCAR.	AURICAR.
Vôtre foy.	Votre foi.
SCIPION.	SCIPION.
une quoy:	une quoi:
done immibar ne veut point d’autrê ôtage?	donce immibar ne veut point d'autrête ôtage?
AURILCAR.	AURICAR.
Il veut de Scipion la parole pour gage, Hé quel ôtage peut remplacer Annibal?	Il veut de Scipion la parole pour gage, Hé quel otage peut remplacer Hannibal?
SCIPION.	SCIPION.
Je ſçay qu’il n’en eſt point pour un tel General.	Je sais qu'il n'en est point pour un tel Général.
Et puiſqu’il ſe confie en ma ſeule parole, Je jure par les Dieux appuis du Capitole, Qu’il peut en ſeureté ſe fier à ma foy, Il n’aura dans mon Camp pour ôtage que moy.	Et puisqu'il se confie en ma seule parole, Je jure par les Dieux appuis du Capitole, Qu'il peut en sûreté se fier à ma foi, Il n'aura dans mon Camp pour ôtage que moi.
AURILCAR.	AURICAR.
Seigneur, c’en eſt aſſez.	Seigneur, c'en est assez.
SCIPION.	SCIPION.
Allez, je vais l’attendre, Je me fais un plaiſir de le voir, de l’entendte, Mais preſſez l’entreveuë où j’ay dû conſentir, Et voyez Iſperie avant que de partir.	Allez, je vais l'attendre, Je me fais un plaisir de le voir, de l'entendte, Mais pressez l'entrevue où j'ai dû consentir, Et voyez Ispérie avant que de partir.
SCENE IV.	SCÈNE IV.
SCIPION, LEPIDE.	SCIPION, LEPIDE.
SCIPION.	SCIPION.
Epide, que crois-tu de cette conference LQu’Annibal me demande avecque tant d’inſtance;	Épide, que crois-tu de cette conférence LQu'Hannibal me demande avec tant d'instance;
Son invincible bras, la terreur des Romains, Son grand cœur, ſa conduite, & ſes vaſtes deſſeins Avoient mis l’Italie aux bords du précipice, Long-temps de la fortune il fixa le caprice;	Son invincible bras, la terreur des Romains, Son grand cœur, sa conduite, et ses vastes desseins Avaient mis l'Italie aux bords du précipice, Longtemps de la fortune il fixa le caprice;
De Trebie, & ſur tout de Cannes le malheur, Monumens éternels de ſa rare valeur, Sur les deux Scipions ſa derniere victoire, Tout enfin a ſervy de trophée à ſa gloire:	De Trébie, et sur tout de Cannes le malheur, Monuments éternels de sa rare valeur, Sur les deux Scipions sa dernière victoire, Tout enfin a servi de trophée à sa gloire:
Cependant ce vainqueur aprés tant de combats Envoye à Scipion, & fait les premiers pas, Il dément la fierté de ſon ame hautaine.	Cependant ce vainqueur après tant de combats Envoie à Scipion, et fait les premiers pas, Il dément la fierté de son âme hautaine.
Que me vient propoſer ce fameux Capitaine?	Que me vient proposer ce fameux Capitaine?
Dieux!	Dieux!
ſeroit-ce la paix?	serait-ce la paix?
mon eſprit agité Fremit en ce moment du ſeul mot de traité.	mon esprit agité Frit en ce moment du seul mot de traité.
LEPIDE.	LÉPIDE.
S’il demande la paix, n'eſtes vous pas le maître D’accepter, d’impoſer.	S'il demande la paix, n'êtes -vous pas le maître D'accepter, d'imposer.
SCIPION.	SCIPION.
Apprens à me connoître.	Apprends à me connaître.
Si dans cette entreveuë il propoſe la paix, Ma gloire me défend d’y conſentir jamais.	Si dans cette entrevue il propose la paix, Ma gloire me défend d'y consentir jamais.
